Timestamp;Log Entry Type;Data
1040;1;3,2,-2,8,-1015,-6,-10,-1,1089
1040;1;3,2,11,0,-1034,-7,3,5,1089
1030;3;3,-5,-27
1050;1;1,1,99643,2644,1093
1050;1;1,2,-27,-21,-1002,19,8,-9,1089
1050;1;1,2,-25,-5,-1056,-3,-1,-5,1089
1050;1;2,1,99669,2506,1093
1050;1;2,2,8,-2,-1058,26,5,-6,1089
1050;1;2,2,6,3,-1000,24,6,-29,1089
1050;1;3,1,99698,2481,1103
1050;1;3,2,-2,5,-1018,-7,-12,-1,1099
1050;1;3,2,12,-1,-1042,-5,1,3,1099
1040;3;4,7,51
1060;1;1,1,99665,2644,1103
1060;1;1,2,-25,-21,-1006,19,7,-8,1099
1060;1;1,2,-23,-3,-1066,-5,-3,-9,1099
1060;1;2,1,99665,2504,1103
1060;1;2,2,7,-2,-1062,26,4,-7,1099
1060;1;2,2,4,5,-1008,23,4,-28,1099
1060;1;3,1,99673,2480,1113
1060;1;3,2,-1,4,-1021,-8,-11,0,1109
1060;1;3,2,10,-2,-1045,-5,0,2,1109
1050;3;6,22,102
1070;1;1,1,99643,2644,1113
1070;1;1,2,-24,-20,-1007,19,7,-8,1109
1070;1;1,2,-22,-5,-1070,-6,-5,-11,1109
1070;1;2,1,99665,2504,1113
1070;1;2,2,7,0,-1063,26,4,-8,1109
1070;1;2,2,4,4,-1010,23,4,-28,1109
1070;1;3,1,99676,2481,1123
1070;1;3,2,-3,4,-1019,-8,-13,0,1119
1070;1;3,2,9,-2,-1047,-4,0,1,1119
1060;3;8,39,114
1080;1;1,1,99643,2644,1123
1080;1;1,2,-23,-21,-1007,19,6,-8,1119
1080;1;1,2,-19,-6,-1071,-6,-5,-11,1119
1080;1;2,1,99645,2504,1123
1080;1;2,2,8,1,-1062,25,3,-8,1119
1080;1;2,2,4,6,-1011,23,3,-28,1119
1080;1;3,1,99698,2481,1133
1080;1;3,2,-3,4,-1020,-7,-12,0,1129
1080;1;3,2,9,-3,-1049,-4,-1,1,1129
1070;3;10,59,121
1090;1;1,1,99643,2644,1133
1090;1;1,2,-23,-23,-1007,19,6,-7,1129
1090;1;1,2,-20,-7,-1074,-7,-6,-12,1129
1090;1;2,1,99645,2504,1133
1090;1;2,2,9,2,-1063,25,3,-9,1129
1090;1;2,2,4,6,-1013,22,3,-28,1129
1090;1;3,1,99673,2480,1143
1090;1;3,2,-5,6,-1020,-7,-12,1,1139
1090;1;3,2,7,-2,-1049,-4,-1,1,1139
1080;3;14,80,130
1100;1;1,1,99643,2644,1143
1100;1;1,2,-21,-24,-1006,18,6,-7,1139
1100;1;1,2,-19,-8,-1074,-8,-6,-13,1139
1100;1;2,1,99669,2506,1143
1100;1;2,2,10,3,-1062,25,4,-9,1139
1100;1;2,2,6,6,-1014,22,3,-27,1139
1100;1;3,1,99676,2481,1153
1100;1;3,2,-7,6,-1019,-7,-12,1,1149
1100;1;3,2,6,-1,-1049,-3,-1,1,1149
1090;3;17,104,127
1110;1;1,1,99640,2643,1153
1110;1;1,2,-22,-26,-1007,18,7,-7,1149
1110;1;1,2,-19,-10,-1075,-7,-6,-13,1149
1110;1;2,1,99645,2504,1153
1110;1;2,2,11,3,-1063,24,4,-9,1149
1110;1;2,2,9,7,-1016,22,3,-28,1149
1110;1;3,1,99676,2481,1163
1110;1;3,2,-9,7,-1019,-8,-12,1,1159
1110;1;3,2,6,0,-1052,-5,-1,1,1159
1100;3;22,130,140
1120;1;1,1,99643,2644,1163
1120;1;1,2,-23,-27,-1009,19,7,-7,1159
1120;1;1,2,-20,-10,-1074,-7,-7,-13,1159
1120;1;2,1,99665,2504,1163
1120;1;2,2,12,2,-1063,25,4,-10,1159
1120;1;2,2,9,7,-1015,22,3,-28,1159
1120;1;3,1,99676,2481,1173
1120;1;3,2,-8,7,-1020,-8,-12,1,1169
1120;1;3,2,5,1,-1052,-4,-1,1,1169
1110;3;27,159,142
1130;1;1,1,99643,2644,1173
1130;1;1,2,-25,-27,-1008,20,6,-7,1169
1130;1;1,2,-22,-11,-1073,-7,-7,-13,1169
1130;1;2,1,99665,2504,1173
1130;1;2,2,13,2,-1065,25,4,-10,1169
1130;1;2,2,11,5,-1014,22,3,-28,1169
1130;1;3,1,99673,2480,1183
1130;1;3,2,-7,10,-1021,-8,-12,1,1179
1130;1;3,2,5,2,-1051,-3,-2,1,1179
1120;3;33,190,140
1140;1;1,1,99643,2644,1183
1140;1;1,2,-26,-27,-1008,20,6,-7,1179
1140;1;1,2,-22,-11,-1074,-7,-7,-13,1179
1140;1;2,1,99645,2504,1183
1140;1;2,2,12,0,-1064,25,4,-10,1179
1140;1;2,2,11,5,-1015,22,3,-28,1179
1140;1;3,1,99676,2481,1193
1140;1;3,2,-6,10,-1022,-8,-12,1,1189
1140;1;3,2,6,3,-1051,-3,-2,1,1189
1130;3;40,223,143
1150;1;1,1,99665,2644,1193
1150;1;1,2,-27,-25,-1007,20,7,-8,1189
1150;1;1,2,-24,-8,-1074,-6,-7,-13,1189
1150;1;2,1,99665,2504,1193
1150;1;2,2,12,-1,-1063,25,4,-10,1189
1150;1;2,2,10,4,-1014,23,3,-28,1189
1150;1;3,1,99673,2480,1203
1150;1;3,2,-5,10,-1022,-8,-12,1,1199
1150;1;3,2,8,3,-1051,-3,-1,1,1199
1140;3;48,260,138
1160;1;1,1,99665,2644,1203
1160;1;1,2,-28,-24,-1008,20,6,-8,1199
1160;1;1,2,-24,-8,-1073,-7,-8,-13,1199
