Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
237,1040,1.04,SENSOR,1,1069,IMU_2,-0.025390625,-0.001953125,-0.9892578125,0.5864197530864198,0.5246913580246914,0.308641975308642
239,1040,1.04,SENSOR,2,1069,IMU_1,0.009765625,0.0029296875,-1.015625,0.7407407407407408,0.2469135802469136,-0.0308641975308642
240,1040,1.04,SENSOR,2,1069,IMU_2,0.0048828125,0.009765625,-0.9345703125,0.7098765432098766,0.5864197530864198,-0.8333333333333334
242,1040,1.04,SENSOR,3,1079,IMU_1,-0.0029296875,0.00390625,-0.9833984375,-0.1234567901234568,-0.2160493827160494,-0.0925925925925926
243,1040,1.04,SENSOR,3,1079,IMU_2,0.01171875,-0.00390625,-0.99609375,-0.3395061728395062,0.2160493827160494,0.2160493827160494
246,1050,1.05,SENSOR,1,1079,IMU_1,-0.0244140625,-0.021484375,-0.9736328125,0.617283950617284,0.2777777777777778,-0.2777777777777778
247,1050,1.05,SENSOR,1,1079,IMU_2,-0.025390625,-0.0048828125,-1.0185546875,0.2160493827160494,0.2160493827160494,-0.0308641975308642
249,1050,1.05,SENSOR,2,1079,IMU_1,0.009765625,-0.0009765625,-1.02734375,0.7098765432098766,0.1851851851851852,-0.154320987654321
250,1050,1.05,SENSOR,2,1079,IMU_2,0.0068359375,0.005859375,-0.9609375,0.6790123456790124,0.3395061728395062,-0.8333333333333334
252,1050,1.05,SENSOR,3,1089,IMU_1,-0.001953125,0.0048828125,-0.9912109375,-0.154320987654321,-0.308641975308642,-0.0308641975308642
253,1050,1.05,SENSOR,3,1089,IMU_2,0.01171875,-0.0009765625,-1.0126953125,-0.2469135802469136,0.0617283950617284,0.1234567901234568
256,1060,1.06,SENSOR,1,1089,IMU_1,-0.0224609375,-0.021484375,-0.9775390625,0.617283950617284,0.2469135802469136,-0.2777777777777778
257,1060,1.06,SENSOR,1,1089,IMU_2,-0.0224609375,-0.005859375,-1.033203125,0.0,0.0308641975308642,-0.1851851851851852
259,1060,1.06,SENSOR,2,1089,IMU_1,0.0087890625,0.0009765625,-1.03125,0.7716049382716049,0.154320987654321,-0.1851851851851852
260,1060,1.06,SENSOR,2,1089,IMU_2,0.0068359375,0.005859375,-0.9755859375,0.6481481481481481,0.1851851851851852,-0.8641975308641976
262,1060,1.06,SENSOR,3,1099,IMU_1,-0.001953125,0.0048828125,-0.9951171875,-0.2160493827160494,-0.308641975308642,0.0
263,1060,1.06,SENSOR,3,1099,IMU_2,0.01171875,-0.0009765625,-1.0185546875,-0.1851851851851852,0.0,0.0925925925925926
266,1070,1.07,SENSOR,1,1099,IMU_1,-0.0244140625,-0.021484375,-0.982421875,0.617283950617284,0.2469135802469136,-0.2469135802469136
267,1070,1.07,SENSOR,1,1099,IMU_2,-0.0234375,-0.005859375,-1.041015625,-0.0925925925925926,-0.0617283950617284,-0.2777777777777778
269,1070,1.07,SENSOR,2,1099,IMU_1,0.0126953125,-0.0009765625,-1.0322265625,0.7407407407407408,0.1234567901234568,-0.2469135802469136
270,1070,1.07,SENSOR,2,1099,IMU_2,0.0087890625,0.0029296875,-0.982421875,0.617283950617284,0.1234567901234568,-0.8641975308641976
272,1070,1.07,SENSOR,3,1109,IMU_1,-0.0009765625,0.0068359375,-0.99609375,-0.2469135802469136,-0.3703703703703704,0.0308641975308642
273,1070,1.07,SENSOR,3,1109,IMU_2,0.0126953125,0.0009765625,-1.0224609375,-0.1234567901234568,-0.0617283950617284,0.0925925925925926
276,1080,1.08,SENSOR,1,1109,IMU_1,-0.025390625,-0.021484375,-0.982421875,0.617283950617284,0.2469135802469136,-0.2160493827160494
277,1080,1.08,SENSOR,1,1109,IMU_2,-0.0234375,-0.005859375,-1.0439453125,-0.154320987654321,-0.0925925925925926,-0.2777777777777778
279,1080,1.08,SENSOR,2,1109,IMU_1,0.0126953125,-0.0009765625,-1.03515625,0.7098765432098766,0.0925925925925926,-0.2469135802469136
280,1080,1.08,SENSOR,2,1109,IMU_2,0.0078125,0.0029296875,-0.9853515625,0.617283950617284,0.0925925925925926,-0.8641975308641976
282,1080,1.08,SENSOR,3,1119,IMU_1,0.0,0.0068359375,-0.99609375,-0.2469135802469136,-0.3395061728395062,0.0
283,1080,1.08,SENSOR,3,1119,IMU_2,0.0107421875,0.0009765625,-1.0224609375,-0.1234567901234568,-0.0617283950617284,0.0617283950617284
286,1090,1.09,SENSOR,1,1119,IMU_1,-0.0263671875,-0.021484375,-0.984375,0.617283950617284,0.2469135802469136,-0.2160493827160494
287,1090,1.09,SENSOR,1,1119,IMU_2,-0.0244140625,-0.0068359375,-1.046875,-0.1851851851851852,-0.1234567901234568,-0.3395061728395062
289,1090,1.09,SENSOR,2,1119,IMU_1,0.01171875,-0.0029296875,-1.0361328125,0.7098765432098766,0.0925925925925926,-0.2777777777777778
290,1090,1.09,SENSOR,2,1119,IMU_2,0.0087890625,0.001953125,-0.9873046875,0.617283950617284,0.0617283950617284,-0.8950617283950618
292,1090,1.09,SENSOR,3,1129,IMU_1,0.0009765625,0.009765625,-0.99609375,-0.2469135802469136,-0.3703703703703704,0.0308641975308642
