Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Pressure,Temperature
589,1390,1.39,SENSOR,2,1433,BARO,99665,25.04
592,1390,1.39,SENSOR,3,1443,BARO,99698,24.81
596,1400,1.4,SENSOR,1,1453,BARO,99643,26.44
599,1400,1.4,SENSOR,2,1443,BARO,99645,25.04
602,1400,1.4,SENSOR,3,1453,BARO,99698,24.81
606,1410,1.41,SENSOR,1,1463,BARO,99665,26.44
609,1410,1.41,SENSOR,2,1453,BARO,99645,25.04
612,1410,1.41,SENSOR,3,1463,BARO,99673,24.8
616,1420,1.42,SENSOR,1,1473,BARO,99665,26.44
619,1420,1.42,SENSOR,2,1463,BARO,99665,25.04
622,1420,1.42,SENSOR,3,1473,BARO,99676,24.81
626,1430,1.43,SENSOR,1,1483,BARO,99643,26.44
629,1430,1.43,SENSOR,2,1473,BARO,99665,25.04
632,1430,1.43,SENSOR,3,1483,BARO,99673,24.8
637,1440,1.44,SENSOR,1,1493,BARO,99662,26.43
640,1440,1.44,SENSOR,2,1483,BARO,99645,25.04
643,1440,1.44,SENSOR,3,1493,BARO,99695,24.8
647,1450,1.45,SENSOR,1,1503,BARO,99643,26.44
650,1450,1.45,SENSOR,2,1493,BARO,99645,25.04
653,1450,1.45,SENSOR,3,1503,BARO,99676,24.81
657,1460,1.46,SENSOR,1,1513,BARO,99643,26.44
660,1460,1.46,SENSOR,2,1503,BARO,99665,25.04
663,1460,1.46,SENSOR,3,1513,BARO,99698,24.81
667,1470,1.47,SENSOR,1,1523,BARO,99618,26.43
670,1470,1.47,SENSOR,2,1513,BARO,99645,25.04
673,1470,1.47,SENSOR,3,1523,BARO,99676,24.81
677,1480,1.48,SENSOR,1,1533,BARO,99643,26.44
680,1480,1.48,SENSOR,2,1523,BARO,99645,25.04
683,1480,1.48,SENSOR,3,1533,BARO,99654,24.81
687,1490,1.49,SENSOR,1,1543,BARO,99643,26.44
690,1490,1.49,SENSOR,2,1543,BARO,99645,25.04
693,1490,1.49,SENSOR,3,1543,BARO,99676,24.81
697,1500,1.5,SENSOR,1,1553,BARO,99665,26.44
700,1500,1.5,SENSOR,2,1553,BARO,99665,25.04
703,1500,1.5,SENSOR,3,1553,BARO,99673,24.8
707,1510,1.51,SENSOR,1,1563,BARO,99640,26.43
710,1510,1.51,SENSOR,2,1563,BARO,99665,25.04
713,1510,1.51,SENSOR,3,1563,BARO,99695,24.8
720,1520,1.52,SENSOR,1,1573,BARO,99643,26.44
723,1520,1.52,SENSOR,2,1573,BARO,99645,25.04
726,1520,1.52,SENSOR,3,1573,BARO,99698,24.81
730,1530,1.53,SENSOR,1,1583,BARO,99643,26.44
733,1530,1.53,SENSOR,2,1583,BARO,99645,25.04
736,1530,1.53,SENSOR,3,1583,BARO,99698,24.81
740,1540,1.54,SENSOR,1,1593,BARO,99643,26.44
743,1540,1.54,SENSOR,2,1593,BARO,99645,25.04
746,1540,1.54,SENSOR,3,1593,BARO,99676,24.81
750,1550,1.55,SENSOR,1,1603,BARO,99643,26.44
753,1550,1.55,SENSOR,2,1603,BARO,99665,25.04
756,1550,1.55,SENSOR,3,1603,BARO,99698,24.81
760,1560,1.56,SENSOR,1,1613,BARO,99643,26.44
763,1560,1.56,SENSOR,2,1613,BARO,99665,25.04
766,1560,1.56,SENSOR,3,1613,BARO,99673,24.8
770,1570,1.57,SENSOR,1,1623,BARO,99665,26.44
773,1570,1.57,SENSOR,2,1623,BARO,99645,25.04
776,1570,1.57,SENSOR,3,1623,BARO,99695,24.8
780,1580,1.58,SENSOR,1,1633,BARO,99643,26.44
783,1580,1.58,SENSOR,2,1633,BARO,99645,25.04
786,1580,1.58,SENSOR,3,1633,BARO,99695,24.8
790,1590,1.59,SENSOR,1,1643,BARO,99643,26.44
793,1590,1.59,SENSOR,2,1643,BARO,99665,25.04
796,1590,1.59,SENSOR,3,1643,BARO,99673,24.8
800,1600,1.6,SENSOR,1,1653,BARO,99643,26.44
803,1600,1.6,SENSOR,2,1653,BARO,99645,25.04
806,1600,1.6,SENSOR,3,1653,BARO,99698,24.81
810,1610,1.61,SENSOR,1,1663,BARO,99643,26.44
813,1610,1.61,SENSOR,2,1663,BARO,99645,25.04
816,1610,1.61,SENSOR,3,1663,BARO,99673,24.8
819,1840,1.84,SENSOR,1,1893,BARO,99643,26.44
822,1840,1.84,SENSOR,2,1893,BARO,99645,25.04
825,1840,1.84,SENSOR,3,1893,BARO,99673,24.8
829,1850,1.85,SENSOR,1,1903,BARO,99621,26.44
832,1850,1.85,SENSOR,2,1903,BARO,99665,25.04
835,1850,1.85,SENSOR,3,1903,BARO,99673,24.8
839,1860,1.86,SENSOR,1,1913,BARO,99643,26.44
842,1860,1.86,SENSOR,2,1913,BARO,99645,25.04
845,1860,1.86,SENSOR,3,1913,BARO,99676,24.81
849,1870,1.87,SENSOR,1,1923,BARO,99643,26.44
852,1870,1.87,SENSOR,2,1923,BARO,99645,25.04
855,1870,1.87,SENSOR,3,1923,BARO,99698,24.81
859,1880,1.88,SENSOR,1,1933,BARO,99640,26.43
862,1880,1.88,SENSOR,2,1933,BARO,99645,25.04
865,1880,1.88,SENSOR,3,1933,BARO,99695,24.8
869,1890,1.89,SENSOR,1,1943,BARO,99643,26.44
872,1890,1.89,SENSOR,2,1943,BARO,99665,25.04
875,1890,1.89,SENSOR,3,1943,BARO,99673,24.8
879,1900,1.9,SENSOR,1,1953,BARO,99643,26.44
882,1900,1.9,SENSOR,2,1953,BARO,99665,25.04
885,1900,1.9,SENSOR,3,1953,BARO,99673,24.8
889,1910,1.91,SENSOR,1,1963,BARO,99643,26.44
892,1910,1.91,SENSOR,2,1963,BARO,99645,25.04
895,1910,1.91,SENSOR,3,1963,BARO,99695,24.8
899,1920,1.92,SENSOR,1,1973,BARO,99643,26.44
902,1920,1.92,SENSOR,2,1973,BARO,99665,25.04
905,1920,1.92,SENSOR,3,1973,BARO,99676,24.81
909,1930,1.93,SENSOR,1,1983,BARO,99643,26.44
912,1930,1.93,SENSOR,2,1983,BARO,99665,25.04
915,1930,1.93,SENSOR,3,1983,BARO,99676,24.81
919,1940,1.94,SENSOR,1,1993,BARO,99643,26.44
922,1940,1.94,SENSOR,2,1993,BARO,99665,25.04
925,1940,1.94,SENSOR,3,1993,BARO,99676,24.81
929,1950,1.95,SENSOR,1,2003,BARO,99665,26.44
932,1950,1.95,SENSOR,2,2003,BARO,99645,25.04
935,1950,1.95,SENSOR,3,2003,BARO,99673,24.8
939,1960,1.96,SENSOR,1,2013,BARO,99665,26.44
942,1960,1.96,SENSOR,2,2013,BARO,99665,25.04
945,1960,1.96,SENSOR,3,2013,BARO,99698,24.81
949,1970,1.97,SENSOR,1,2023,BARO,99643,26.44
952,1970,1.97,SENSOR,2,2023,BARO,99665,25.04
955,1970,1.97,SENSOR,3,2023,BARO,99676,24.81
959,1980,1.98,SENSOR,1,2033,BARO,99665,26.44
962,1980,1.98,SENSOR,2,2033,BARO,99645,25.04
965,1980,1.98,SENSOR,3,2033,BARO,99676,24.81
969,1990,1.99,SENSOR,1,2043,BARO,99643,26.44
972,1990,1.99,SENSOR,2,2043,BARO,99665,25.04
975,1990,1.99,SENSOR,3,2053,BARO,99673,24.8
979,2000,2.0,SENSOR,1,2053,BARO,99643,26.44
982,2000,2.0,SENSOR,2,2053,BARO,99665,25.04
985,2000,2.0,SENSOR,3,2063,BARO,99673,24.8
989,2010,2.01,SENSOR,1,2063,BARO,99665,26.44
992,2010,2.01,SENSOR,2,2063,BARO,99665,25.04
995,2010,2.01,SENSOR,3,2073,BARO,99676,24.81
1002,2020,2.02,SENSOR,1,2073,BARO,99662,26.43
1005,2020,2.02,SENSOR,2,2073,BARO,99665,25.04
1008,2020,2.02,SENSOR,3,2083,BARO,99673,24.8
1012,2030,2.03,SENSOR,1,2083,BARO,99621,26.44
1015,2030,2.03,SENSOR,2,2083,BARO,99665,25.04
1018,2030,2.03,SENSOR,3,2093,BARO,99676,24.81
1022,2040,2.04,SENSOR,1,2093,BARO,99643,26.44
1025,2040,2.04,SENSOR,2,2093,BARO,99645,25.04
1028,2040,2.04,SENSOR,3,2103,BARO,99676,24.81
1032,2050,2.05,SENSOR,1,2103,BARO,99643,26.44
1035,2050,2.05,SENSOR,2,2103,BARO,99645,25.04
1038,2050,2.05,SENSOR,3,2113,BARO,99695,24.8
1043,2060,2.06,SENSOR,1,2113,BARO,99665,26.44
1046,2060,2.06,SENSOR,2,2113,BARO,99665,25.04
1049,2060,2.06,SENSOR,3,2123,BARO,99676,24.81
1053,2070,2.07,SENSOR,1,2123,BARO,99643,26.44
1056,2070,2.07,SENSOR,2,2123,BARO,99665,25.04
1059,2070,2.07,SENSOR,3,2133,BARO,99695,24.8
1063,2080,2.08,SENSOR,1,2133,BARO,99640,26.43
1066,2080,2.08,SENSOR,2,2133,BARO,99665,25.04
1069,2080,2.08,SENSOR,3,2143,BARO,99676,24.81
1073,2090,2.09,SENSOR,1,2143,BARO,99643,26.44
1076,2090,2.09,SENSOR,2,2143,BARO,99645,25.04
1079,2090,2.09,SENSOR,3,2153,BARO,99673,24.8
1083,2100,2.1,SENSOR,1,2153,BARO,99643,26.44
1086,2100,2.1,SENSOR,2,2153,BARO,99645,25.04
1089,2100,2.1,SENSOR,3,2163,BARO,99698,24.81
1093,2110,2.11,SENSOR,1,2163,BARO,99643,26.44
1096,2110,2.11,SENSOR,2,2163,BARO,99645,25.04
1099,2110,2.11,SENSOR,3,2173,BARO,99695,24.8
1103,2120,2.12,SENSOR,1,2173,BARO,99662,26.43
1106,2120,2.12,SENSOR,2,2173,BARO,99665,25.04
1109,2120,2.12,SENSOR,3,2183,BARO,99673,24.8
1113,2130,2.13,SENSOR,1,2183,BARO,99643,26.44
1116,2130,2.13,SENSOR,2,2183,BARO,99665,25.04
1119,2130,2.13,SENSOR,3,2193,BARO,99676,24.81
1123,2140,2.14,SENSOR,1,2193,BARO,99621,26.44
1126,2140,2.14,SENSOR,2,2193,BARO,99665,25.04
1129,2140,2.14,SENSOR,3,2203,BARO,99673,24.8
1133,2150,2.15,SENSOR,1,2203,BARO,99621,26.44
1136,2150,2.15,SENSOR,2,2203,BARO,99645,25.04
1139,2150,2.15,SENSOR,3,2213,BARO,99695,24.8
1143,2160,2.16,SENSOR,1,2213,BARO,99643,26.44
1146,2160,2.16,SENSOR,2,2213,BARO,99665,25.04
1149,2160,2.16,SENSOR,3,2223,BARO,99673,24.8
1153,2170,2.17,SENSOR,1,2223,BARO,99643,26.44
1156,2170,2.17,SENSOR,2,2223,BARO,99665,25.04
1159,2170,2.17,SENSOR,3,2233,BARO,99695,24.8
1163,2180,2.18,SENSOR,1,2233,BARO,99643,26.44
1166,2180,2.18,SENSOR,2,2233,BARO,99661,25.02
1169,2180,2.18,SENSOR,3,2243,BARO,99673,24.8
1173,2190,2.19,SENSOR,1,2243,BARO,99640,26.43
1176,2190,2.19,SENSOR,2,2243,BARO,99661,25.02
1179,2190,2.19,SENSOR,3,2253,BARO,99673,24.8
1183,2200,2.2,SENSOR,1,2253,BARO,99640,26.43
1186,2200,2.2,SENSOR,2,2253,BARO,99665,25.04
1189,2200,2.2,SENSOR,3,2263,BARO,99695,24.8
1193,2210,2.21,SENSOR,1,2263,BARO,99643,26.44
1196,2210,2.21,SENSOR,2,2263,BARO,99645,25.04
1199,2210,2.21,SENSOR,3,2273,BARO,99673,24.8
1203,2220,2.22,SENSOR,1,2273,BARO,99643,26.44
1206,2220,2.22,SENSOR,2,2273,BARO,99661,25.02
1209,2220,2.22,SENSOR,3,2283,BARO,99695,24.8
1213,2230,2.23,SENSOR,1,2283,BARO,99643,26.44
1216,2230,2.23,SENSOR,2,2283,BARO,99661,25.02
1219,2230,2.23,SENSOR,3,2293,BARO,99698,24.81
1223,2240,2.24,SENSOR,1,2293,BARO,99640,26.43
1226,2240,2.24,SENSOR,2,2293,BARO,99665,25.04
1229,2240,2.24,SENSOR,3,2303,BARO,99695,24.8
1233,2250,2.25,SENSOR,1,2303,BARO,99640,26.43
1236,2250,2.25,SENSOR,2,2303,BARO,99645,25.04
1239,2250,2.25,SENSOR,3,2313,BARO,99695,24.8
1244,2260,2.26,SENSOR,1,2313,BARO,99643,26.44
1247,2260,2.26,SENSOR,2,2313,BARO,99661,25.02
1250,2260,2.26,SENSOR,3,2323,BARO,99695,24.8
1254,2270,2.27,SENSOR,1,2323,BARO,99640,26.43
1257,2270,2.27,SENSOR,2,2323,BARO,99645,25.04
1260,2270,2.27,SENSOR,3,2333,BARO,99695,24.8
1264,2280,2.28,SENSOR,1,2333,BARO,99640,26.43
1267,2280,2.28,SENSOR,2,2333,BARO,99642,25.02
1270,2280,2.28,SENSOR,3,2343,BARO,99695,24.8
1274,2290,2.29,SENSOR,1,2343,BARO,99643,26.44
1277,2290,2.29,SENSOR,2,2343,BARO,99645,25.04
1280,2290,2.29,SENSOR,3,2353,BARO,99673,24.8
1284,2300,2.3,SENSOR,1,2353,BARO,99665,26.44
1287,2300,2.3,SENSOR,2,2353,BARO,99645,25.04
1290,2300,2.3,SENSOR,3,2363,BARO,99695,24.8
1294,2310,2.31,SENSOR,1,2363,BARO,99665,26.44
1297,2310,2.31,SENSOR,2,2363,BARO,99665,25.04
1300,2310,2.31,SENSOR,3,2373,BARO,99673,24.8
1304,2320,2.32,SENSOR,1,2373,BARO,99643,26.44
1307,2320,2.32,SENSOR,2,2373,BARO,99661,25.02
1310,2320,2.32,SENSOR,3,2383,BARO,99676,24.81
1314,2330,2.33,SENSOR,1,2383,BARO,99643,26.44
1317,2330,2.33,SENSOR,2,2383,BARO,99642,25.02
1320,2330,2.33,SENSOR,3,2393,BARO,99676,24.81
1324,2340,2.34,SENSOR,1,2393,BARO,99640,26.43
1327,2560,2.56,SENSOR,1,2613,BARO,99643,26.44
1330,2560,2.56,SENSOR,2,2613,BARO,99665,25.04
1333,2560,2.56,SENSOR,3,2623,BARO,99673,24.8
1337,2570,2.57,SENSOR,1,2623,BARO,99640,26.43
1340,2570,2.57,SENSOR,2,2623,BARO,99665,25.04
1343,2570,2.57,SENSOR,3,2633,BARO,99695,24.8
1347,2580,2.58,SENSOR,1,2633,BARO,99640,26.43
1350,2580,2.58,SENSOR,2,2633,BARO,99645,25.04
1353,2580,2.58,SENSOR,3,2643,BARO,99698,24.81
1357,2590,2.59,SENSOR,1,2643,BARO,99640,26.43
1360,2590,2.59,SENSOR,2,2643,BARO,99661,25.02
1363,2590,2.59,SENSOR,3,2653,BARO,99673,24.8
1367,2600,2.6,SENSOR,1,2653,BARO,99643,26.44
1370,2600,2.6,SENSOR,2,2653,BARO,99661,25.02
1373,2600,2.6,SENSOR,3,2663,BARO,99673,24.8
1377,2610,2.61,SENSOR,1,2663,BARO,99640,26.43
1380,2610,2.61,SENSOR,2,2663,BARO,99645,25.04
1383,2610,2.61,SENSOR,3,2673,BARO,99695,24.8
