Timestamp;Log Entry Type;Data
1292;1;3,2-1073283072,1074200576,-1004076928,2555904,4063424,524352,1008205888
1302;1;3,1484835327,-1003552768,131136
1302;1;3,2-1073283072,1074200576,-1004076928,2555904,4063424,524352,1008205888
1312;1;3,1484835327,-1003552768,131136
1312;1;3,2-1073283072,1074200576,-1004076928,2555904,4063424,524352,1008205888
1322;1;3,1484835327,-1003225088,131136
1322;1;3,2-1073283072,1074200576,-1004076928,2555904,4063424,524352,1008205888
1332;1;3,1484835327,-1003225088,131136
1332;1;3,2-1073283072,1074200576,-1004076928,2555904,4063424,524352,1008205888
1342;1;3,1484835327,-1002897408,3221291072
1342;1;3,2-1073283072,458752,-1002766208,2555904,4063424,524352,4228907072
1352;1;3,1484835327,-1002897408,3221291072
1352;1;3,2-1073283072,458752,-1002766208,2555904,4063424,524352,4228907072
1362;1;3,1484835327,-1002569728,3221291072
1362;1;3,2-1073283072,458752,-1002766208,2555904,4063424,524352,1008205888
1372;1;3,1484835327,-1002569728,3221291072
1372;1;3,2-1073283072,458752,-1002766208,2555904,4063424,524352,1008205888
1382;1;3,1484835327,-1006436352,3221291136
1382;1;3,2-1073283072,458752,-1002766208,2555904,4063424,524352,1008205888
1392;1;3,1484835327,-1006436352,3221291136
1392;1;3,2-1073283072,458752,-1002766208,2555904,4063424,524352,1008205888
1402;1;3,1484835327,-1006108672,3221291136
1402;1;3,2-1073283072,458752,-1002766208,2555904,4063424,524352,1008205888
1412;1;3,1484835327,-1006108672,3221291136
1412;1;3,2-1073283072,458752,-1002766208,2555904,4063424,524352,1008205888
1422;1;3,1484835327,-1005780992,131200
1422;1;3,2-1073283072,-2147090432,-1005649792,2555904,4063424,524352,1008205952
1432;1;3,1484835327,-1005780992,131200
1432;1;3,2-1073283072,-2147090432,-1005649792,2555904,4063424,524352,1008205952
1442;1;3,1484835327,-1005453312,131200
1442;1;3,2-1073283072,-2147090432,-1005649792,2555904,4063424,524352,1008205952
1452;1;3,1484835327,-1005453312,131200
1452;1;3,2-1073283072,-2147090432,-1005649792,2555904,4063424,524352,1008205952
1462;1;3,1484835327,-1005125632,131200
1462;1;3,2-1073283072,-2147090432,-1005649792,2555904,4063424,524352,1008205952
1472;1;3,1484835327,-1005125632,131200
1472;1;3,2-1073283072,-2147090432,-1005649792,2555904,4063424,524352,1008205952
1482;1;3,1484835327,-1004797952,131200
1482;1;3,2-1073283072,-2147090432,-1005649792,2555904,4063424,524352,1008205952
1492;1;3,1484835327,-1004797952,131200
1492;1;3,2-1073283072,-2147090432,-1005649792,2555904,4063424,524352,1008205952
1502;1;3,1484835327,-1004470272,3221291136
1502;1;3,2-1073283072,-1073348608,-1004339072,1076297728,4063424,524352,1008205952
1512;1;3,1484835327,-1004470272,3221291136
1512;1;3,2-1073283072,-1073348608,-1004339072,1076297728,4063424,524352,1008205952
1522;1;3,1484835327,-1004142592,3221291136
1522;1;3,2-1073283072,-1073348608,-1004339072,1076297728,4063424,524352,1008205952
1532;1;3,1484835327,-1004142592,3221291136
1532;1;3,2-1073283072,-1073348608,-1004339072,1076297728,4063424,524352,1008205952
1542;1;3,1484835327,-1003814912,3221291136
1542;1;3,2-1073283072,-1073348608,-1004339072,1076297728,4063424,524352,1008205952
1552;1;3,1484835327,-1003814912,3221291136
1552;1;3,2-1073283072,-1073348608,-1004339072,1076297728,4063424,524352,1008205952
1562;1;3,1484835327,-1003487232,3221291136
1562;1;3,2-1073283072,-1073348608,-1004339072,1076297728,4063424,524352,2082406528
1572;1;3,1484835327,-1003487232,3221291136
1572;1;3,2-1073283072,-1073348608,-1004339072,1076297728,4063424,524352,2082406528
1582;1;3,1484835327,-1003159552,3221291136
1582;1;3,2-1073283072,-1073283072,-1003028352,-1071251456,4063424,524352,1008205952
